sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,25,Attention:batch_greedy_mean,44.98285398306679,39.86811367046085,LKH,12.829150520847342
0.0,0.0,25,Attention:greedy_rollout,42.64858091474758,39.86811367046085,LKH,6.974163029807054
0.0,0.0,25,PointerNet:batch_greedy_mean,44.50435964586164,39.86811367046085,LKH,11.62895745136767
0.0,0.0,25,PointerNet:greedy_rollout,46.48207044441679,39.86811367046085,LKH,16.589590439681036
0.0,0.0,25,POMO,41.508279918128906,39.86811367046085,LKH,4.113980062425904
0.0,0.0,26,Attention:batch_greedy_mean,36.811817192227096,36.54458295783789,LKH,0.7312553948078149
0.0,0.0,26,Attention:greedy_rollout,37.28324649023124,36.54458295783789,LKH,2.0212668270029566
0.0,0.0,26,PointerNet:batch_greedy_mean,37.35975216315228,36.54458295783789,LKH,2.230615700977803
0.0,0.0,26,PointerNet:greedy_rollout,36.85389580170063,36.54458295783789,LKH,0.8463986145897499
0.0,0.0,26,POMO,36.72443336791601,36.54458295783789,LKH,0.4921397250192208
0.0,0.0,27,Attention:batch_greedy_mean,39.48873574210538,36.75876643748289,LKH,7.4267163161349865
0.0,0.0,27,Attention:greedy_rollout,37.610524048565225,36.75876643748289,LKH,2.317155045262339
0.0,0.0,27,PointerNet:batch_greedy_mean,40.74013699041574,36.75876643748289,LKH,10.83107769599431
0.0,0.0,27,PointerNet:greedy_rollout,48.325879734815736,36.75876643748289,LKH,31.467631855942447
0.0,0.0,27,POMO,37.17972770889649,36.75876643748289,LKH,1.1451996685730697
0.0,0.0,28,Attention:batch_greedy_mean,39.30101505135073,38.76592353881016,LKH,1.380314110161378
0.0,0.0,28,Attention:greedy_rollout,39.90715701245788,38.76592353881016,LKH,2.9439089010872665
0.0,0.0,28,PointerNet:batch_greedy_mean,42.72278824818194,38.76592353881016,LKH,10.207069374757442
0.0,0.0,28,PointerNet:greedy_rollout,43.36144884008021,38.76592353881016,LKH,11.85454874219435
0.0,0.0,28,POMO,39.24041362911569,38.76592353881016,LKH,1.2239875823685666
0.0,0.0,29,Attention:batch_greedy_mean,39.5713549812642,38.74156616693584,LKH,2.1418566579183547
