method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,79,1,0.0,0.0,True
Attention:batch_greedy_mean,79,2,0.0,0.0,True
Attention:batch_greedy_mean,79,3,0.0,0.0,True
Attention:batch_greedy_mean,79,4,0.0,0.0,True
Attention:batch_greedy_mean,80,0,0.0,0.0,True
Attention:batch_greedy_mean,80,1,0.0,0.0,True
Attention:batch_greedy_mean,80,2,0.0,0.0,True
Attention:batch_greedy_mean,80,3,0.0,0.0,True
Attention:batch_greedy_mean,80,4,0.0,0.0,True
Attention:batch_greedy_mean,81,0,0.0,0.0,True
Attention:batch_greedy_mean,81,1,0.0,0.0,True
Attention:batch_greedy_mean,81,2,0.0,0.0,True
Attention:batch_greedy_mean,81,3,0.0,0.0,True
Attention:batch_greedy_mean,81,4,0.0,0.0,True
Attention:batch_greedy_mean,82,0,0.0,0.0,True
Attention:batch_greedy_mean,82,1,0.0,0.0,True
Attention:batch_greedy_mean,82,2,0.0,0.0,True
Attention:batch_greedy_mean,82,3,0.0,0.0,True
Attention:batch_greedy_mean,82,4,0.0,0.0,True
Attention:batch_greedy_mean,83,0,0.0,0.0,True
Attention:batch_greedy_mean,83,1,0.0,0.0,True
Attention:batch_greedy_mean,83,2,0.0,0.0,True
Attention:batch_greedy_mean,83,3,0.0,0.0,True
Attention:batch_greedy_mean,83,4,0.0,0.0,True
Attention:batch_greedy_mean,84,0,0.0,0.0,True
Attention:batch_greedy_mean,84,1,0.0,0.0,True
Attention:batch_greedy_mean,84,2,0.0,0.0,True
Attention:batch_greedy_mean,84,3,0.0,0.0,True
Attention:batch_greedy_mean,84,4,0.0,0.0,True
Attention:batch_greedy_mean,85,0,0.0,0.0,True
Attention:batch_greedy_mean,85,1,0.0,0.0,True
Attention:batch_greedy_mean,85,2,0.0,0.0,True
Attention:batch_greedy_mean,85,3,0.0,0.0,True
Attention:batch_greedy_mean,85,4,0.0,0.0,True
Attention:batch_greedy_mean,86,0,0.0,0.0,True
Attention:batch_greedy_mean,86,1,0.0,0.0,True
Attention:batch_greedy_mean,86,2,0.0,0.0,True
Attention:batch_greedy_mean,86,3,0.0,0.0,True
Attention:batch_greedy_mean,86,4,0.0,0.0,True
Attention:batch_greedy_mean,87,0,0.0,0.0,True
Attention:batch_greedy_mean,87,1,0.0,0.0,True
Attention:batch_greedy_mean,87,2,0.0,0.0,True
Attention:batch_greedy_mean,87,3,0.0,0.0,True
Attention:batch_greedy_mean,87,4,0.0,0.0,True
Attention:batch_greedy_mean,88,0,0.0,0.0,True
Attention:batch_greedy_mean,88,1,0.0,0.0,True
Attention:batch_greedy_mean,88,2,0.0,0.0,True
Attention:batch_greedy_mean,88,3,0.0,0.0,True
Attention:batch_greedy_mean,88,4,0.0,0.0,True
Attention:batch_greedy_mean,89,0,0.0,0.0,True
Attention:batch_greedy_mean,89,1,0.0,0.0,True
Attention:batch_greedy_mean,89,2,0.0,0.0,True
Attention:batch_greedy_mean,89,3,0.0,0.0,True
Attention:batch_greedy_mean,89,4,0.0,0.0,True
Attention:batch_greedy_mean,90,0,0.0,0.0,True
Attention:batch_greedy_mean,90,1,0.0,0.0,True
Attention:batch_greedy_mean,90,2,0.0,0.0,True
Attention:batch_greedy_mean,90,3,0.0,0.0,True
Attention:batch_greedy_mean,90,4,0.0,0.0,True
Attention:batch_greedy_mean,91,0,0.0,0.0,True
Attention:batch_greedy_mean,91,1,0.0,0.0,True
Attention:batch_greedy_mean,91,2,0.0,0.0,True
Attention:batch_greedy_mean,91,3,0.0,0.0,True
Attention:batch_greedy_mean,91,4,0.0,0.0,True
Attention:batch_greedy_mean,92,0,0.0,0.0,True
Attention:batch_greedy_mean,92,1,0.0,0.0,True
Attention:batch_greedy_mean,92,2,0.0,0.0,True
Attention:batch_greedy_mean,92,3,0.0,0.0,True
Attention:batch_greedy_mean,92,4,0.0,0.0,True
